,len
0,1
1,1
2,1
3,1
4,2
5,3
6,3
7,4
8,4
9,5
10,5
11,6
12,6
13,6
14,6
15,6
16,7
17,7
18,7
19,7
20,8
21,8
22,9
23,9
24,10
25,10
26,11
27,11
28,11
29,11
30,11
31,11
32,11
33,11
34,11
35,11
36,11
37,11
38,12
39,12
40,12
41,12
42,12
43,12
44,12
45,12
46,12
47,12
48,12
49,12
50,13
51,13
52,13
53,13
54,13
55,13
56,13
57,14
58,15
59,15
60,16
61,16
62,16
63,16
64,16
65,16
66,16
67,16
68,16
69,16
70,16
71,17
72,18
73,18
74,18
75,18
76,18
77,18
78,18
79,18
80,18
81,18
82,18
83,18
84,18
85,18
86,18
87,18
88,18
89,18
90,18
91,18
92,18
93,18
94,18
95,18
96,18
97,18
98,18
99,18
100,18
101,19
102,19
103,20
104,20
105,21
106,21
107,21
108,22
109,22
110,23
111,23
112,24
113,24
114,24
115,24
116,24
117,24
118,24
119,24
120,24
121,24
122,25
123,26
124,26
125,26
126,26
127,26
128,26
129,26
130,26
131,26
132,26
133,26
134,26
135,26
136,26
137,26
138,26
139,26
140,26
141,26
142,27
143,28
144,28
145,29
146,29
147,30
148,30
149,31
150,31
151,32
152,32
153,33
154,33
155,33
156,33
157,34
158,34
159,34
160,35
161,35
162,36
163,36
164,37
165,37
166,37
167,37
168,38
169,38
170,38
171,38
172,39
173,39
174,40
175,40
176,40
177,40
178,40
179,40
180,40
181,40
182,40
183,41
184,41
185,42
186,43
187,44
188,44
189,44
190,44
191,44
192,45
193,46
194,46
195,47
196,47
197,48
198,49
199,49
200,50
201,50
202,50
203,50
204,50
205,51
206,51
207,51
208,51
209,51
210,51
211,52
212,52
213,53
214,54
215,54
216,54
217,54
218,54
219,55
220,55
221,56
222,57
223,57
224,57
225,57
226,58
227,58
228,59
229,60
230,60
231,60
232,60
233,61
234,61
235,61
236,61
237,61
238,61
239,61
240,61
241,61
242,62
243,62
244,63
245,64
246,64
247,65
248,66
249,67
250,67
251,68
252,68
253,68
254,69
255,70
256,71
257,71
258,71
259,71
260,71
261,71
262,71
263,71
264,71
265,71
266,72
267,73
268,73
269,73
270,73
271,73
272,74
273,74
274,74
275,74
276,75
277,75
278,75
279,75
280,75
281,75
282,75
283,75
284,75
285,75
286,75
287,75
288,75
289,75
290,75
291,75
292,75
293,75
294,75
295,75
296,76
297,76
298,77
299,77
300,78
301,79
302,79
303,79
304,79
305,79
306,79
307,79
308,79
309,79
310,80
311,81
312,81
313,81
314,81
315,81
316,81
317,81
318,81
319,82
320,82
321,82
322,82
323,82
324,82
325,82
326,82
327,83
328,83
329,83
330,84
331,85
332,85
333,86
334,86
335,87
336,87
337,87
338,88
339,88
340,89
341,89
342,89
343,89
344,89
345,89
346,89
347,89
348,89
349,90
350,91
351,91
352,91
353,91
354,92
355,93
356,93
357,94
358,94
359,94
360,94
361,95
362,95
363,95
364,95
365,96
366,96
367,97
368,97
369,97
370,97
371,97
372,97
373,97
374,97
375,97
376,97
377,97
378,97
379,97
380,97
381,97
382,97
383,97
384,97
385,97
386,98
387,98
388,99
389,100
390,100
391,100
392,100
393,101
394,102
395,102
396,103
397,104
398,104
399,105
400,105
401,106
402,107
403,107
404,107
405,107
406,107
407,107
408,107
409,107
410,108
411,109
412,110
413,110
414,111
415,111
416,112
417,113
418,114
419,114
420,115
421,116
422,116
423,116
424,116
425,117
426,118
427,118
428,119
429,120
430,120
431,121
432,121
433,121
434,121
435,121
436,122
437,122
438,122
439,122
440,122
441,122
442,122
443,122
444,122
445,122
446,122
447,122
448,122
449,122
450,122
451,122
452,122
453,122
454,122
455,122
456,122
457,122
458,122
459,122
460,122
461,123
462,124
463,124
464,125
465,125
466,126
467,126
468,126
469,126
470,126
471,127
472,127
473,127
474,128
475,129
476,129
477,130
478,130
479,130
480,131
481,131
482,132
483,133
484,134
485,134
486,134
487,134
488,135
489,136
490,136
491,136
492,136
493,136
494,137
495,137
496,138
497,139
498,139
499,140
500,140
501,140
502,141
503,142
504,142
505,142
506,143
507,144
508,144
509,144
510,144
511,145
512,145
513,145
514,146
515,146
516,147
517,148
518,148
519,149
520,150
521,150
522,151
523,152
524,152
525,152
526,153
527,154
528,155
529,155
530,156
531,156
532,157
533,157
534,158
535,158
536,158
537,158
538,158
539,159
540,159
541,160
542,160
543,160
544,160
545,161
546,162
547,162
548,162
549,163
550,163
551,163
552,163
553,164
554,164
555,164
556,164
557,164
558,164
559,164
560,164
561,165
562,165
563,165
564,165
565,165
566,165
567,165
568,166
569,166
570,167
571,167
572,168
573,169
574,169
575,170
576,171
577,172
578,172
579,173
580,174
581,175
582,175
583,175
584,175
585,175
586,175
587,175
588,176
589,177
590,178
591,178
592,179
593,179
594,179
595,180
596,181
597,182
598,182
599,183
600,184
601,184
602,184
603,184
604,184
605,184
606,184
607,184
608,184
609,185
610,186
611,186
612,187
613,188
614,188
615,189
616,189
617,189
618,190
619,191
620,191
621,192
622,192
623,192
624,193
625,193
626,193
627,193
628,193
629,193
630,194
631,194
632,194
633,195
634,196
635,196
636,197
637,198
638,199
639,199
640,199
641,199
642,199
643,200
644,200
645,201
646,202
647,202
648,203
649,204
650,204
651,205
652,206
653,207
654,208
655,208
656,209
657,210
658,210
659,211
660,212
661,213
662,214
663,214
664,214
665,214
666,215
667,216
668,217
669,218
670,219
671,219
672,220
673,221
674,222
675,222
676,222
677,222
678,222
679,222
680,222
681,223
682,224
683,225
684,225
685,226
686,226
687,226
688,227
689,227
690,228
691,229
692,230
693,230
694,230
695,230
696,230
697,231
698,231
699,231
700,231
701,231
702,231
703,231
704,231
705,231
706,231
707,232
708,232
709,233
710,234
711,235
712,236
713,236
714,237
715,237
716,238
717,239
718,240
719,241
720,241
721,242
722,243
723,244
724,245
725,245
726,245
727,245
728,245
729,245
730,245
731,245
732,246
733,247
734,248
735,249
736,249
737,250
738,250
739,250
740,250
741,250
742,250
743,250
744,251
745,252
746,253
747,253
748,254
749,254
750,255
751,255
752,256
753,257
754,258
755,259
756,259
757,260
758,261
759,261
760,262
761,262
762,263
763,263
764,264
765,265
766,265
767,265
768,265
769,265
770,265
771,265
772,265
773,265
774,265
775,265
776,265
777,266
778,266
779,266
780,266
781,266
782,266
783,266
784,266
785,266
786,266
787,266
788,266
789,266
790,266
791,266
792,266
793,266
794,266
795,266
796,267
797,268
798,269
799,269
800,269
801,269
802,270
803,270
804,270
805,270
806,270
807,270
808,270
809,271
810,272
811,273
812,274
